Customer_ID,Age,Monthly_Charges,Tenure_Months,Support_Calls,Satisfaction,Churn
10001,22,102.35,57,4,2,0
10002,55,118.07,49,2,5,0
10003,49,121.71,67,1,1,0
10004,39,77.88,70,0,5,0
10005,38,79.63,51,1,4,0
10006,59,108.99,27,2,3,1
10007,22,58.02,44,1,3,0
10008,51,112.93,31,3,5,0
10009,27,76.88,46,0,4,0
10010,22,37.16,59,2,2,0
10011,43,32.57,27,3,1,0
10012,64,113.41,37,0,4,0
10013,53,30.83,4,2,1,1
10014,54,54.46,54,0,1,0
10015,52,60.08,36,2,5,0
10016,55,43.16,34,3,3,0
10017,42,57.96,39,3,4,0
10018,24,102.98,16,2,2,0
10019,58,26.54,44,2,1,0
10020,39,111.85,54,3,1,1
10021,42,114.94,26,2,2,1
10022,35,64.09,10,0,1,0
10023,26,41.13,28,3,3,1
10024,62,88.09,15,4,2,1
10025,55,37.57,27,3,3,0
10026,48,63.32,46,4,3,0
10027,37,125.64,9,1,2,0
10028,57,129.52,54,1,3,0
10029,44,106.07,17,2,1,1
10030,39,57.65,65,1,2,0
10031,39,97.2,53,3,5,0
10032,28,99.07,20,2,5,0
10033,22,65.72,41,2,3,0
10034,44,92.29,8,1,5,0
10035,60,26.13,8,2,3,0
10036,21,46.95,69,6,1,1
10037,59,80.13,58,1,5,0
10038,57,42.19,12,1,3,0
10039,31,42.42,21,1,4,0
10040,48,112.81,15,2,4,0
10041,25,128.86,29,0,2,0
10042,54,83.38,21,1,4,0
10043,51,113.1,24,0,3,0
10044,35,128.98,39,1,2,1
10045,21,39.87,14,2,2,1
10046,64,72.07,64,1,4,0
10047,39,66.22,53,0,2,0
10048,60,33.41,55,4,1,0
10049,50,104.31,13,3,5,1
10050,55,70.55,51,5,2,1
10051,54,74.28,61,1,4,0
10052,27,40.82,13,2,4,0
10053,35,44.0,55,1,5,0
10054,40,120.25,26,4,4,1
10055,41,29.69,57,2,4,0
10056,20,49.45,35,2,5,0
10057,44,55.67,58,2,5,0
10058,25,76.47,11,3,1,1
10059,53,86.58,29,1,4,0
10060,50,76.8,20,1,1,0
10061,62,33.83,18,2,5,0
10062,53,50.59,23,6,1,0
10063,35,113.58,28,1,2,1
10064,64,91.95,10,4,1,1
10065,37,93.16,51,2,4,0
10066,33,95.37,40,2,1,1
10067,61,105.1,60,2,1,0
10068,35,31.1,51,2,3,1
10069,21,63.49,11,1,5,0
10070,40,81.65,6,3,3,0
10071,56,60.54,31,0,3,0
10072,27,113.67,35,5,4,1
10073,40,75.67,18,1,3,1
10074,24,105.71,57,2,2,0
10075,50,114.46,42,2,3,0
10076,40,78.0,54,3,1,1
10077,33,120.5,8,0,2,0
10078,28,86.65,59,3,4,0
10079,45,114.28,15,3,2,0
10080,50,60.76,33,2,1,1
10081,63,77.38,32,1,1,1
10082,38,80.8,60,1,5,0
10083,25,36.02,20,1,2,0
10084,57,66.85,18,2,1,0
10085,48,121.32,25,3,4,0
10086,51,91.24,26,5,3,1
10087,22,43.64,14,4,3,1
10088,32,60.58,13,1,5,0
10089,54,45.12,17,5,2,0
10090,57,27.61,34,3,3,0
10091,38,122.38,25,2,4,1
10092,56,72.06,29,2,4,0
10093,58,57.29,52,2,2,0
10094,36,87.84,18,0,4,0
10095,61,25.77,66,3,4,0
10096,31,54.19,55,4,1,1
10097,29,98.82,13,0,1,1
10098,50,91.55,23,1,4,0
10099,48,128.09,14,0,1,0
10100,24,90.14,20,5,5,0
10101,57,75.14,27,2,1,0
10102,27,104.95,10,3,5,0
10103,56,119.85,2,1,4,1
10104,18,100.67,32,1,3,1
10105,56,126.14,51,2,2,1
10106,55,107.11,22,1,2,0
10107,55,116.01,62,0,4,0
10108,49,36.98,27,1,4,0
10109,40,101.9,65,2,2,0
10110,51,71.21,17,2,3,0
10111,31,83.08,39,3,5,0
10112,55,93.68,55,3,2,0
10113,44,126.83,5,1,4,0
10114,40,128.38,67,1,1,0
10115,42,55.26,27,3,5,0
10116,45,102.04,36,2,1,1
10117,19,103.75,46,0,2,1
10118,24,61.38,47,0,3,0
10119,29,38.01,2,2,2,1
10120,23,29.3,63,3,1,0
10121,39,106.62,45,3,4,0
10122,50,76.42,72,4,1,0
10123,49,128.48,34,2,5,0
10124,40,73.82,45,2,1,0
10125,59,127.68,32,1,2,1
10126,45,68.22,65,2,5,0
10127,21,108.34,60,1,1,1
10128,54,33.91,66,2,1,0
10129,45,83.32,37,0,4,0
10130,48,109.22,57,0,1,0
10131,45,122.09,26,2,5,0
10132,44,111.37,34,1,3,0
10133,22,28.88,55,3,5,0
10134,44,64.13,6,3,2,1
10135,56,30.11,52,1,1,0
10136,32,36.47,2,5,5,1
10137,46,95.91,42,2,4,1
10138,19,99.89,35,5,5,0
10139,34,106.24,34,0,2,1
10140,38,115.87,36,2,3,0
10141,65,102.64,36,2,3,0
10142,28,109.09,30,1,3,1
10143,31,30.14,33,2,2,0
10144,37,49.63,41,6,2,1
10145,65,90.3,55,5,4,0
10146,58,115.1,40,2,1,0
10147,19,25.47,47,3,2,0
10148,29,79.04,61,3,2,0
10149,57,96.12,72,5,1,1
10150,20,28.11,8,0,1,0
10151,59,67.14,52,3,3,0
10152,31,119.04,17,0,1,1
10153,62,95.52,15,2,2,0
10154,32,49.95,58,3,3,0
10155,38,114.54,5,4,5,0
10156,49,61.54,62,0,1,0
10157,24,114.6,56,1,3,0
10158,44,56.39,72,3,1,0
10159,42,86.98,49,0,3,0
10160,55,66.68,63,2,3,0
10161,65,53.86,9,2,4,0
10162,49,118.09,65,3,3,0
10163,37,44.7,12,4,5,0
10164,37,33.91,23,2,1,0
10165,38,60.9,10,4,1,0
10166,57,100.35,29,5,1,1
10167,33,109.78,54,1,2,0
10168,26,129.87,20,2,1,1
10169,34,56.12,60,2,1,0
10170,19,67.83,44,1,2,0
10171,23,39.37,46,3,5,0
10172,22,85.36,68,7,5,0
10173,55,129.75,32,4,1,1
10174,52,98.59,25,3,5,0
10175,51,87.5,72,2,2,0
10176,40,66.2,41,2,3,0
10177,52,121.11,45,2,2,1
10178,25,77.18,22,4,3,1
10179,61,39.11,16,2,4,0
10180,42,63.36,13,4,4,0
10181,63,32.05,17,1,3,0
10182,25,46.21,15,0,4,0
10183,41,26.86,54,2,4,0
10184,51,72.59,5,5,1,1
10185,41,91.63,46,1,2,0
10186,39,61.05,69,1,1,0
10187,25,69.14,56,1,4,0
10188,36,125.72,30,1,3,0
10189,29,103.96,5,2,4,0
10190,32,81.79,61,4,3,0
10191,50,54.88,1,1,2,0
10192,48,119.18,50,1,1,1
10193,47,49.69,49,4,5,0
10194,35,59.16,14,2,2,0
10195,64,120.45,54,1,1,0
10196,22,80.6,13,2,2,0
10197,34,102.94,17,4,5,0
10198,23,87.03,59,1,2,0
10199,34,93.61,71,7,5,0
10200,64,56.44,20,2,3,0
10201,35,50.34,67,1,5,0
10202,61,58.86,66,0,4,0
10203,41,41.32,56,4,1,0
10204,51,116.8,11,1,3,0
10205,39,54.74,22,3,3,0
10206,30,83.96,49,4,2,1
10207,54,108.16,72,7,3,1
10208,64,107.3,59,3,1,1
10209,30,71.03,31,2,4,0
10210,55,75.01,17,1,5,0
10211,30,129.44,70,3,1,1
10212,52,95.83,20,3,3,0
10213,55,110.54,25,2,4,0
10214,39,119.77,70,4,1,0
10215,53,107.7,41,2,2,0
