Employee_ID,Age,Experience,Monthly_Bonus,Department,Education,Promoted
50001,56.0,26.0,8270.0,Web,Bachelor,1
50002,38.0,15.0,4705.0,,Master,0
50003,36.0,15.0,6916.0,Software,Bachelor,0
50004,43.0,21.0,4976.0,Data,Bachelor,0
50005,54.0,24.0,7571.0,Cloud,Bachelor,0
50006,57.0,29.0,13997.0,AI,Master,1
50007,32.0,10.0,11758.0,Software,Master,0
50008,31.0,7.0,3705.0,AI,Bachelor,0
50009,42.0,17.0,9326.0,Cloud,Bachelor,0
50010,44.0,18.0,7524.0,Cloud,Bachelor,1
50011,31.0,10.0,3647.0,AI,Bachelor,0
50012,35.0,8.0,10101.0,AI,Master,0
50013,58.0,30.0,2028.0,Data,PhD,0
50014,51.0,20.0,5931.0,Software,Master,0
50015,55.0,24.0,6024.0,AI,Bachelor,1
50016,42.0,16.0,8304.0,Cloud,Bachelor,0
50017,36.0,5.0,3963.0,Web,Master,0
50018,29.0,5.0,8489.0,Data,PhD,0
50019,47.0,23.0,3991.0,Software,Master,0
50020,41.0,12.0,11965.0,AI,Bachelor,0
50021,37.0,13.0,,Software,Master,0
50022,30.0,8.0,9070.0,Web,PhD,0
50023,41.0,13.0,2000.0,Web,Master,0
50024,22.0,0.0,14761.0,Software,Bachelor,0
50025,23.0,0.0,2495.0,Data,Bachelor,0
50026,25.0,0.0,8170.0,Software,Master,0
50027,55.0,26.0,13795.0,Cloud,Bachelor,0
50028,34.0,13.0,7156.0,AI,Master,0
50029,25.0,0.0,5778.0,Software,PhD,0
50030,21.0,0.0,9133.0,AI,Bachelor,0
50031,58.0,30.0,3948.0,Data,Master,0
50032,51.0,28.0,6479.0,Software,Master,0
50033,27.0,4.0,6965.0,Web,Master,0
50034,53.0,28.0,9734.0,AI,Bachelor,1
50035,44.0,18.0,6074.0,Data,Master,1
50036,21.0,0.0,7080.0,Software,Master,0
50037,26.0,3.0,3733.0,Software,Bachelor,0
50038,42.0,13.0,7884.0,Data,PhD,1
50039,49.0,24.0,10680.0,Web,Bachelor,0
50040,38.0,10.0,4919.0,AI,Master,0
50041,26.0,3.0,11068.0,Software,PhD,0
50042,37.0,15.0,13219.0,Web,Master,0
50043,55.0,27.0,10404.0,AI,Bachelor,1
50044,23.0,0.0,,Data,Bachelor,0
50045,46.0,22.0,13767.0,AI,Master,0
50046,58.0,30.0,11220.0,,Bachelor,0
50047,45.0,21.0,7700.0,Data,Bachelor,1
50048,32.0,2.0,9703.0,Data,Master,0
50049,30.0,0.0,9424.0,Web,Master,0
50050,58.0,30.0,10800.0,AI,Master,1
50051,47.0,24.0,4411.0,Cloud,Bachelor,0
50052,37.0,16.0,3290.0,Software,Bachelor,0
50053,25.0,0.0,5610.0,Web,PhD,0
50054,29.0,5.0,,Web,Bachelor,0
50055,39.0,14.0,10524.0,Web,Bachelor,0
50056,31.0,3.0,14060.0,Software,Bachelor,0
50057,31.0,2.0,6033.0,Cloud,Master,0
50058,30.0,0.0,7802.0,Software,Master,0
50059,28.0,5.0,7777.0,AI,Bachelor,1
50060,53.0,28.0,9549.0,Software,Bachelor,0
50061,40.0,16.0,10429.0,AI,Bachelor,0
50062,54.0,30.0,9745.0,Data,Master,0
50063,47.0,20.0,4434.0,,PhD,0
50064,53.0,30.0,6485.0,Software,Master,1
50065,47.0,19.0,6329.0,Web,Bachelor,0
50066,,8.0,9090.0,Web,Bachelor,0
50067,32.0,7.0,9603.0,Data,PhD,0
50068,32.0,10.0,10671.0,Data,Master,1
50069,29.0,2.0,6841.0,Web,Master,1
50070,42.0,20.0,7211.0,Cloud,PhD,0
50071,59.0,30.0,4951.0,Software,Master,0
50072,49.0,28.0,11349.0,Software,Master,1
50073,52.0,28.0,9913.0,AI,Bachelor,0
50074,49.0,27.0,8593.0,Web,Bachelor,0
50075,35.0,8.0,12503.0,Data,Bachelor,0
50076,54.0,27.0,8072.0,Web,PhD,0
50077,31.0,3.0,8478.0,Software,Master,0
50078,51.0,29.0,8788.0,Software,Bachelor,0
50079,22.0,0.0,10119.0,AI,Bachelor,0
50080,41.0,19.0,11794.0,Software,Bachelor,0
50081,47.0,24.0,8449.0,AI,Master,0
50082,48.0,23.0,7445.0,Data,Bachelor,0
50083,25.0,2.0,11025.0,Data,Bachelor,1
50084,51.0,29.0,9232.0,Data,Master,0
50085,22.0,0.0,4295.0,AI,Bachelor,0
50086,28.0,0.0,4796.0,AI,Bachelor,0
50087,23.0,0.0,10618.0,AI,Master,0
50088,60.0,30.0,12371.0,Software,Bachelor,1
50089,41.0,19.0,10014.0,Data,Master,0
50090,42.0,21.0,7925.0,Web,Master,0
50091,39.0,10.0,7850.0,Software,Bachelor,0
50092,46.0,19.0,6811.0,Data,Master,0
50093,29.0,5.0,4854.0,AI,Bachelor,0
50094,47.0,17.0,5780.0,Data,PhD,0
50095,37.0,15.0,8086.0,AI,Bachelor,0
50096,49.0,22.0,5402.0,Data,Master,0
50097,43.0,22.0,11679.0,Software,Bachelor,1
50098,24.0,0.0,8525.0,Web,PhD,0
50099,39.0,12.0,7976.0,Data,Bachelor,0
50100,24.0,2.0,3092.0,Web,Master,0
50101,50.0,20.0,8153.0,Data,Bachelor,0
50102,32.0,8.0,6622.0,Software,Bachelor,0
50103,60.0,30.0,10460.0,Software,Bachelor,1
50104,26.0,0.0,3734.0,Web,Master,0
50105,43.0,19.0,2447.0,AI,Bachelor,0
50106,50.0,20.0,7451.0,Software,Master,0
50107,40.0,11.0,7375.0,Software,Bachelor,1
50108,39.0,16.0,7157.0,Data,Bachelor,0
50109,50.0,27.0,10804.0,Data,Bachelor,1
50110,28.0,0.0,6073.0,Data,Bachelor,0
50111,51.0,27.0,7565.0,Software,Master,0
50112,37.0,9.0,10601.0,Software,Master,0
50113,22.0,0.0,15172.0,AI,Bachelor,0
50114,28.0,0.0,12348.0,AI,Master,0
50115,39.0,13.0,7422.0,Web,Master,0
50116,50.0,23.0,8583.0,AI,Bachelor,0
50117,49.0,24.0,11850.0,AI,Master,1
50118,37.0,11.0,12772.0,Data,Bachelor,0
50119,42.0,18.0,9697.0,AI,Bachelor,0
50120,55.0,30.0,9407.0,Software,Bachelor,0
50121,57.0,28.0,3883.0,Software,Master,1
50122,49.0,21.0,5934.0,Cloud,,0
